image_path,label
very_lame\0.jpg,very_lame
very_lame\1.jpg,very_lame
very_lame\2.jpg,very_lame
very_lame\3.jpg,very_lame
very_lame\4.jpg,very_lame
very_lame\5.jpg,very_lame
very_lame\6.jpg,very_lame
very_lame\7.jpg,very_lame
very_lame\8.jpg,very_lame
very_lame\9.jpg,very_lame
very_lame\10.jpg,very_lame
very_lame\11.jpg,very_lame
very_lame\12.jpg,very_lame
very_lame\13.jpg,very_lame
very_lame\14.jpg,very_lame
very_lame\15.jpg,very_lame
very_lame\16.jpg,very_lame
very_lame\17.jpg,very_lame
very_lame\18.jpg,very_lame
very_lame\19.jpg,very_lame
very_lame\20.jpg,very_lame
very_lame\21.jpg,very_lame
very_lame\22.jpg,very_lame
very_lame\23.jpg,very_lame
very_lame\24.jpg,very_lame
very_lame\25.jpg,very_lame
very_lame\26.jpg,very_lame
very_lame\27.jpg,very_lame
very_lame\28.jpg,very_lame
very_lame\29.jpg,very_lame
very_lame\30.jpg,very_lame
very_lame\31.jpg,very_lame
very_lame\32.jpg,very_lame
very_lame\33.jpg,very_lame
very_lame\34.jpg,very_lame
very_lame\35.jpg,very_lame
very_lame\36.jpg,very_lame
very_lame\37.jpg,very_lame
very_lame\38.jpg,very_lame
very_lame\39.jpg,very_lame
very_lame\40.jpg,very_lame
very_lame\41.jpg,very_lame
very_lame\42.jpg,very_lame
very_lame\43.jpg,very_lame
very_lame\44.jpg,very_lame
very_lame\45.jpg,very_lame
very_lame\46.jpg,very_lame
very_lame\47.jpg,very_lame
very_lame\48.jpg,very_lame
very_lame\49.jpg,very_lame
very_lame\50.jpg,very_lame
very_lame\51.jpg,very_lame
very_lame\52.jpg,very_lame
very_lame\53.jpg,very_lame
very_lame\54.jpg,very_lame
very_lame\55.jpg,very_lame
very_lame\56.jpg,very_lame
very_lame\57.jpg,very_lame
very_lame\58.jpg,very_lame
very_lame\59.jpg,very_lame
very_lame\60.jpg,very_lame
very_lame\61.jpg,very_lame
very_lame\62.jpg,very_lame
very_lame\63.jpg,very_lame
very_lame\64.jpg,very_lame
very_lame\65.jpg,very_lame
very_lame\66.jpg,very_lame
very_lame\67.jpg,very_lame
very_lame\68.jpg,very_lame
very_lame\69.jpg,very_lame
very_lame\70.jpg,very_lame
very_lame\71.jpg,very_lame
very_lame\72.jpg,very_lame
very_lame\73.jpg,very_lame
very_lame\74.jpg,very_lame
very_lame\75.jpg,very_lame
very_lame\76.jpg,very_lame
very_lame\77.jpg,very_lame
very_lame\78.jpg,very_lame
very_lame\79.jpg,very_lame
very_lame\80.jpg,very_lame
very_lame\81.jpg,very_lame
very_lame\82.jpg,very_lame
very_lame\83.jpg,very_lame
very_lame\84.jpg,very_lame
very_lame\85.jpg,very_lame
very_lame\86.jpg,very_lame
very_lame\87.jpg,very_lame
very_lame\88.jpg,very_lame
very_lame\89.jpg,very_lame
very_lame\90.jpg,very_lame
very_lame\91.jpg,very_lame
very_lame\92.jpg,very_lame
very_lame\93.jpg,very_lame
very_lame\94.jpg,very_lame
very_lame\95.jpg,very_lame
very_lame\96.jpg,very_lame
very_lame\97.jpg,very_lame
very_lame\98.jpg,very_lame
very_lame\99.jpg,very_lame
very_lame\100.jpg,very_lame
very_lame\101.jpg,very_lame
very_lame\102.jpg,very_lame
very_lame\103.jpg,very_lame
very_lame\104.jpg,very_lame
very_lame\105.jpg,very_lame
very_lame\106.jpg,very_lame
very_lame\107.jpg,very_lame
very_lame\108.jpg,very_lame
